id_appel_offre,titre,description,categorie_marche,secteur,organisme_emetteur,pays,region,ville,date_publication,date_limite,date_resultat,budget_estime,soumissionnaires,montants_soumis,soumissionnaire_gagnant,montant_gagnant,montant_moyen,ecart_montant_vs_budget,delai_execution,type_procédure,critere_attribution,nombre_soumissionnaires,historique_gagnant_dans_les_3_derniers_ao,nombre_ao_gagnes_par_gagnant,experience_gagnant,notation_technique_gagnant,statut_ao,motif_annulation
236,Appel d'offre pour btp à Oujda,Marché public concernant le secteur btp dans la région de Casablanca-Settat.,Services,BTP,ONCF,Maroc,Casablanca-Settat,Oujda,2024-12-26,2025-01-24,2025-02-02,6991522,"['Novec', 'SOMAGEC', 'TGCC', 'Jet Contractors', 'INGEMA', 'SOGEA']","[6475350.761881833, 6633179.391773809, 7227350.867980657, 7352917.567791443, 7782871.244288816, 8219701.783961094]",Jet Contractors,7352917.567791443,7281895.27,0.0517,62,Gré à gré,Meilleure offre économiquement,6,Non,12,4,68,Attribué,
237,Appel d'offre pour transport à Oujda,Marché public concernant le secteur transport dans la région de Oriental.,Travaux,Transport,ONCF,Maroc,Oriental,Oujda,2024-10-31,2024-12-11,2024-12-20,6946463,"['SOGEA', 'TGCC', 'Jet Contractors', 'SOMAGEC', 'INGEMA', 'Novec']","[6292649.999927176, 7086811.41349001, 7155699.668308214, 7866130.723124921, 8269640.316506393, 8276224.775356116]",SOMAGEC,7866130.723124921,7491192.82,0.1324,288,Appel d’offres ouvert,Prix seul,6,Oui,13,10,79,Annulé,
238,Appel d'offre pour transport à Rabat,Marché public concernant le secteur transport dans la région de Fès-Meknès.,Travaux,Transport,Ministère de l’Équipement,Maroc,Fès-Meknès,Rabat,2023-11-19,2024-01-01,2024-01-16,8619170,"['Novec', 'Jet Contractors', 'TGCC']","[8720645.799958186, 8737298.846779352, 9990456.69471448]",TGCC,9990456.69471448,9149467.11,0.1591,49,Appel d’offres restreint,Note technique et prix,3,Non,5,8,98,Sans suite,Manque de budget
239,Appel d'offre pour médical à Rabat,Marché public concernant le secteur médical dans la région de Fès-Meknès.,Travaux,Médical,Ministère de l’Équipement,Maroc,Fès-Meknès,Rabat,2023-09-23,2023-10-11,2023-10-28,6195675,"['Jet Contractors', 'SOGEA', 'Novec']","[5817419.232000377, 6352892.098338052, 6559129.475775546]",SOGEA,6352892.098338052,6243146.94,0.0254,195,Gré à gré,Prix seul,3,Oui,10,4,98,Attribué,
240,Appel d'offre pour énergie à Fès,Marché public concernant le secteur énergie dans la région de Fès-Meknès.,Travaux,Énergie,Ministère de l’Équipement,Maroc,Fès-Meknès,Fès,2025-05-03,2025-05-18,2025-05-27,8718169,"['TGCC', 'Jet Contractors', 'SOMAGEC', 'Novec']","[8157290.371951715, 8463897.569121594, 9664966.659877485, 10011296.504392242]",Novec,10011296.504392242,9074362.78,0.1483,33,Appel d’offres ouvert,Note technique et prix,4,Oui,3,13,75,Sans suite,
241,Appel d'offre pour informatique à Oujda,Marché public concernant le secteur informatique dans la région de Casablanca-Settat.,Fournitures,Informatique,Ministère de la Santé,Maroc,Casablanca-Settat,Oujda,2025-05-23,2025-06-03,2025-06-10,1753924,"['SOGEA', 'INGEMA', 'SOMAGEC', 'Novec', 'Jet Contractors', 'TGCC']","[1675206.6667623888, 1679174.8391980215, 1858933.5305237176, 1879372.265689442, 2025381.8845238646, 2034525.6251864561]",TGCC,2034525.6251864561,1858765.8,0.16,94,Gré à gré,Meilleure offre économiquement,6,Oui,9,15,77,Annulé,Manque de budget
242,Appel d'offre pour informatique à Rabat,Marché public concernant le secteur informatique dans la région de Casablanca-Settat.,Services,Informatique,Ministère de la Santé,Maroc,Casablanca-Settat,Rabat,2023-07-18,2023-08-08,2023-08-20,6934445,"['SOGEA', 'INGEMA', 'Novec', 'TGCC']","[6320104.818221535, 7308844.346916925, 7630225.729241232, 7891558.1994215315]",INGEMA,7308844.346916925,7287683.27,0.054,323,Gré à gré,Meilleure offre économiquement,4,Non,3,7,95,Annulé,Non-conformité des offres
243,Appel d'offre pour énergie à Fès,Marché public concernant le secteur énergie dans la région de Oriental.,Travaux,Énergie,Ministère de la Santé,Maroc,Oriental,Fès,2024-08-27,2024-10-23,2024-11-11,4376384,"['SOGEA', 'Novec', 'Jet Contractors', 'TGCC', 'SOMAGEC', 'INGEMA']","[4106268.9613552205, 4282445.926616101, 4362287.909826296, 4712819.7801571665, 4931859.20475243, 5100429.990106256]",SOMAGEC,4931859.20475243,4582685.3,0.1269,174,Gré à gré,Meilleure offre économiquement,6,Non,12,20,97,Sans suite,Non-conformité des offres
244,Appel d'offre pour énergie à Rabat,Marché public concernant le secteur énergie dans la région de Souss-Massa.,Fournitures,Énergie,CHU Casablanca,Maroc,Souss-Massa,Rabat,2023-08-16,2023-10-10,2023-10-16,6264371,"['Jet Contractors', 'SOMAGEC']","[5757396.409526674, 6132429.767653154]",Jet Contractors,5757396.409526674,5944913.09,-0.0809,142,Appel d’offres restreint,Meilleure offre économiquement,2,Oui,13,3,60,Annulé,
245,Appel d'offre pour énergie à Oujda,Marché public concernant le secteur énergie dans la région de Casablanca-Settat.,Fournitures,Énergie,ONCF,Maroc,Casablanca-Settat,Oujda,2023-06-18,2023-07-05,2023-07-16,938224,"['Novec', 'Jet Contractors', 'SOGEA']","[922638.1925381314, 1121478.379494716, 1121535.2933360266]",Novec,922638.1925381314,1055217.29,-0.0166,347,Appel d’offres restreint,Meilleure offre économiquement,3,Oui,15,15,93,Attribué,
246,Appel d'offre pour médical à Oujda,Marché public concernant le secteur médical dans la région de Tanger-Tétouan-Al Hoceïma.,Fournitures,Médical,ONEE,Maroc,Tanger-Tétouan-Al Hoceïma,Oujda,2023-12-22,2024-01-10,2024-01-25,2847042,"['SOMAGEC', 'Novec', 'SOGEA', 'INGEMA']","[2924563.7161307544, 2953164.03233291, 3275809.4556781864, 3409211.1469420316]",SOGEA,3275809.4556781864,3140687.09,0.1506,320,Appel d’offres restreint,Meilleure offre économiquement,4,Non,10,8,84,Annulé,
247,Appel d'offre pour fournitures scolaires à Agadir,Marché public concernant le secteur fournitures scolaires dans la région de Oriental.,Fournitures,Fournitures scolaires,Ministère de l’Équipement,Maroc,Oriental,Agadir,2024-06-13,2024-07-30,2024-08-19,8700748,"['SOMAGEC', 'Novec', 'TGCC']","[8087177.220090272, 8231313.553578124, 8686574.991210282]",TGCC,8686574.991210282,8335021.92,-0.0016,114,Gré à gré,Note technique et prix,3,Oui,5,19,75,Sans suite,Non-conformité des offres
248,Appel d'offre pour fournitures scolaires à Tanger,Marché public concernant le secteur fournitures scolaires dans la région de Rabat-Salé-Kénitra.,Services,Fournitures scolaires,Ministère de la Santé,Maroc,Rabat-Salé-Kénitra,Tanger,2023-10-02,2023-11-26,2023-12-07,240027,"['Jet Contractors', 'TGCC', 'Novec']","[228052.25512423037, 239439.52058939284, 242152.48969868076]",Jet Contractors,228052.25512423037,236548.09,-0.0499,214,Appel d’offres ouvert,Prix seul,3,Oui,9,10,87,Sans suite,Non-conformité des offres
249,Appel d'offre pour énergie à Casablanca,Marché public concernant le secteur énergie dans la région de Fès-Meknès.,Fournitures,Énergie,DGSN,Maroc,Fès-Meknès,Casablanca,2024-02-23,2024-04-12,2024-05-01,2804649,"['Novec', 'INGEMA']","[2733896.739447541, 3051723.103526455]",INGEMA,3051723.103526455,2892809.92,0.0881,148,Appel d’offres restreint,Prix seul,2,Oui,6,13,90,Attribué,
250,Appel d'offre pour énergie à Agadir,Marché public concernant le secteur énergie dans la région de Oriental.,Services,Énergie,Ministère de la Santé,Maroc,Oriental,Agadir,2023-10-12,2023-12-08,2023-12-13,5880819,"['TGCC', 'SOMAGEC', 'Novec', 'SOGEA', 'INGEMA']","[5319105.027644368, 5434671.030200033, 5636940.094504654, 6652032.370221945, 6946836.475539033]",TGCC,5319105.027644368,5997917.0,-0.0955,144,Appel d’offres ouvert,Note technique et prix,5,Oui,2,3,73,Attribué,
251,Appel d'offre pour médical à Oujda,Marché public concernant le secteur médical dans la région de Casablanca-Settat.,Fournitures,Médical,Ministère de la Santé,Maroc,Casablanca-Settat,Oujda,2024-01-05,2024-02-03,2024-02-18,6418270,"['SOMAGEC', 'Jet Contractors', 'TGCC']","[6316092.806532898, 6546728.747449796, 6876424.298631385]",Jet Contractors,6546728.747449796,6579748.62,0.02,244,Gré à gré,Note technique et prix,3,Oui,5,13,86,Attribué,
252,Appel d'offre pour médical à Tanger,Marché public concernant le secteur médical dans la région de Rabat-Salé-Kénitra.,Services,Médical,ONEE,Maroc,Rabat-Salé-Kénitra,Tanger,2023-12-17,2024-02-09,2024-02-25,6094291,"['Jet Contractors', 'Novec', 'TGCC', 'SOGEA', 'SOMAGEC', 'INGEMA']","[6109617.571606477, 6458614.965366492, 6581049.7836997295, 6657804.74474521, 6917530.565259784, 7157651.265295162]",Jet Contractors,6109617.571606477,6647044.82,0.0025,180,Appel d’offres ouvert,Note technique et prix,6,Oui,13,19,76,Sans suite,
253,Appel d'offre pour énergie à Tanger,Marché public concernant le secteur énergie dans la région de Oriental.,Services,Énergie,Ministère de l’Équipement,Maroc,Oriental,Tanger,2024-04-29,2024-06-05,2024-06-15,3682206,"['INGEMA', 'SOGEA', 'TGCC']","[3782393.363947327, 4304237.683595932, 4361571.979437278]",TGCC,4361571.979437278,4149401.01,0.1845,48,Appel d’offres restreint,Prix seul,3,Oui,14,19,75,Sans suite,Manque de budget
254,Appel d'offre pour médical à Fès,Marché public concernant le secteur médical dans la région de Rabat-Salé-Kénitra.,Services,Médical,Ministère de l’Équipement,Maroc,Rabat-Salé-Kénitra,Fès,2024-10-19,2024-11-14,2024-12-03,4443378,"['SOMAGEC', 'INGEMA', 'TGCC', 'Novec', 'SOGEA', 'Jet Contractors']","[4253498.479388408, 4336076.880462233, 4370627.252482217, 4709554.484385938, 4742521.27498826, 4959482.073543823]",SOGEA,4742521.27498826,4561960.07,0.0673,186,Gré à gré,Meilleure offre économiquement,6,Non,8,5,94,Sans suite,Non-conformité des offres
255,Appel d'offre pour btp à Casablanca,Marché public concernant le secteur btp dans la région de Tanger-Tétouan-Al Hoceïma.,Services,BTP,DGSN,Maroc,Tanger-Tétouan-Al Hoceïma,Casablanca,2025-01-20,2025-02-07,2025-02-17,4627539,"['INGEMA', 'SOGEA', 'SOMAGEC', 'Jet Contractors', 'Novec', 'TGCC']","[4697460.021695421, 4997927.171110124, 5112754.2348656105, 5176357.023451833, 5315853.343928275, 5479668.283201956]",Jet Contractors,5176357.023451833,5130003.35,0.1186,42,Gré à gré,Prix seul,6,Oui,6,1,62,Attribué,
256,Appel d'offre pour btp à Tanger,Marché public concernant le secteur btp dans la région de Fès-Meknès.,Fournitures,BTP,Ministère de l’Équipement,Maroc,Fès-Meknès,Tanger,2023-05-21,2023-06-05,2023-06-10,7227126,"['SOGEA', 'Jet Contractors', 'Novec', 'SOMAGEC']","[7091991.580487304, 7418124.936333614, 8096387.041103317, 8263739.416927628]",Jet Contractors,7418124.936333614,7717560.74,0.0264,342,Gré à gré,Meilleure offre économiquement,4,Non,2,2,91,Annulé,
257,Appel d'offre pour fournitures scolaires à Casablanca,Marché public concernant le secteur fournitures scolaires dans la région de Fès-Meknès.,Travaux,Fournitures scolaires,CHU Casablanca,Maroc,Fès-Meknès,Casablanca,2023-09-16,2023-09-28,2023-10-16,1098866,"['SOMAGEC', 'Novec', 'Jet Contractors', 'INGEMA', 'TGCC', 'SOGEA']","[1066118.5017792317, 1087375.9215827028, 1135204.6012852993, 1245204.9317386625, 1264818.3805065292, 1270883.085963877]",SOGEA,1270883.085963877,1178267.57,0.1565,159,Appel d’offres restreint,Meilleure offre économiquement,6,Oui,2,5,93,Sans suite,Non-conformité des offres
258,Appel d'offre pour informatique à Casablanca,Marché public concernant le secteur informatique dans la région de Tanger-Tétouan-Al Hoceïma.,Travaux,Informatique,ONEE,Maroc,Tanger-Tétouan-Al Hoceïma,Casablanca,2024-02-12,2024-03-18,2024-04-01,2388540,"['Novec', 'SOGEA', 'SOMAGEC']","[2392146.245995194, 2422945.4570974493, 2759161.185506246]",Novec,2392146.245995194,2524750.96,0.0015,70,Appel d’offres restreint,Meilleure offre économiquement,3,Oui,15,19,71,Sans suite,Non-conformité des offres
259,Appel d'offre pour médical à Agadir,Marché public concernant le secteur médical dans la région de Rabat-Salé-Kénitra.,Fournitures,Médical,Ministère de l’Équipement,Maroc,Rabat-Salé-Kénitra,Agadir,2024-01-03,2024-01-25,2024-02-05,3462469,"['TGCC', 'Jet Contractors', 'Novec']","[3210917.6449156697, 3272304.4441104033, 3734882.1585366633]",Novec,3734882.1585366633,3406034.75,0.0787,239,Appel d’offres ouvert,Note technique et prix,3,Oui,11,17,68,Sans suite,
260,Appel d'offre pour fournitures scolaires à Tanger,Marché public concernant le secteur fournitures scolaires dans la région de Fès-Meknès.,Travaux,Fournitures scolaires,Ministère de l’Équipement,Maroc,Fès-Meknès,Tanger,2023-12-27,2024-01-10,2024-01-28,4530244,"['Novec', 'SOMAGEC', 'SOGEA', 'TGCC', 'Jet Contractors', 'INGEMA']","[4256045.04249652, 4483814.613098143, 4510357.114856788, 4962988.574656046, 5072540.154464381, 5172928.295925006]",TGCC,4962988.574656046,4743112.3,0.0955,331,Gré à gré,Prix seul,6,Non,1,18,77,Sans suite,
261,Appel d'offre pour médical à Rabat,Marché public concernant le secteur médical dans la région de Tanger-Tétouan-Al Hoceïma.,Services,Médical,Ministère de l’Équipement,Maroc,Tanger-Tétouan-Al Hoceïma,Rabat,2023-06-02,2023-06-20,2023-06-30,9915905,"['Jet Contractors', 'TGCC', 'Novec', 'INGEMA']","[9712504.665381124, 10434473.617558695, 11446964.489582617, 11771034.852653272]",INGEMA,11771034.852653272,10841244.41,0.1871,125,Gré à gré,Prix seul,4,Non,15,1,83,Annulé,Manque de budget
262,Appel d'offre pour médical à Oujda,Marché public concernant le secteur médical dans la région de Tanger-Tétouan-Al Hoceïma.,Services,Médical,CHU Casablanca,Maroc,Tanger-Tétouan-Al Hoceïma,Oujda,2023-02-12,2023-03-21,2023-04-02,609139,"['Novec', 'INGEMA', 'SOMAGEC', 'TGCC', 'SOGEA', 'Jet Contractors']","[576235.2313141453, 584965.2040689867, 670930.598695914, 672497.0538363528, 681314.8415859825, 728175.2757060224]",SOMAGEC,670930.598695914,652353.03,0.1014,179,Appel d’offres ouvert,Prix seul,6,Oui,11,16,78,Sans suite,Non-conformité des offres
263,Appel d'offre pour médical à Tanger,Marché public concernant le secteur médical dans la région de Souss-Massa.,Services,Médical,ONEE,Maroc,Souss-Massa,Tanger,2023-02-06,2023-02-20,2023-03-11,5863776,"['Jet Contractors', 'INGEMA', 'TGCC']","[5736044.117050558, 6143302.70133731, 6587720.896546547]",Jet Contractors,5736044.117050558,6155689.24,-0.0218,329,Appel d’offres ouvert,Prix seul,3,Oui,0,15,62,Sans suite,
264,Appel d'offre pour btp à Casablanca,Marché public concernant le secteur btp dans la région de Souss-Massa.,Fournitures,BTP,ONEE,Maroc,Souss-Massa,Casablanca,2024-04-24,2024-06-19,2024-06-26,5498718,"['TGCC', 'INGEMA', 'SOGEA']","[5098160.097713748, 5479845.332216526, 6288247.991017362]",TGCC,5098160.097713748,5622084.47,-0.0728,101,Gré à gré,Note technique et prix,3,Non,4,18,96,Annulé,Non-conformité des offres
265,Appel d'offre pour transport à Agadir,Marché public concernant le secteur transport dans la région de Fès-Meknès.,Fournitures,Transport,ONCF,Maroc,Fès-Meknès,Agadir,2024-04-14,2024-05-26,2024-06-10,5884972,"['INGEMA', 'TGCC', 'Novec', 'Jet Contractors', 'SOGEA']","[5613726.015621693, 5637922.081420373, 6337033.379035606, 6611797.446261642, 6627095.686123944]",Jet Contractors,6611797.446261642,6165514.92,0.1235,155,Appel d’offres ouvert,Note technique et prix,5,Non,0,2,74,Attribué,
266,Appel d'offre pour énergie à Tanger,Marché public concernant le secteur énergie dans la région de Oriental.,Fournitures,Énergie,Ministère de l’Équipement,Maroc,Oriental,Tanger,2023-06-16,2023-07-07,2023-07-20,376176,"['TGCC', 'SOMAGEC', 'Novec', 'INGEMA']","[338600.77751381666, 366169.6455522294, 414163.4422394582, 440201.2536011546]",TGCC,338600.77751381666,389783.78,-0.0999,301,Appel d’offres ouvert,Meilleure offre économiquement,4,Oui,6,6,96,Annulé,Non-conformité des offres
267,Appel d'offre pour fournitures scolaires à Tanger,Marché public concernant le secteur fournitures scolaires dans la région de Tanger-Tétouan-Al Hoceïma.,Fournitures,Fournitures scolaires,Ministère de l’Équipement,Maroc,Tanger-Tétouan-Al Hoceïma,Tanger,2024-05-15,2024-05-30,2024-06-14,1599959,"['INGEMA', 'SOGEA', 'Novec']","[1582763.0241112786, 1646987.761812961, 1691683.8617967113]",Novec,1691683.8617967113,1640478.22,0.0573,167,Gré à gré,Meilleure offre économiquement,3,Oui,4,1,77,Annulé,Non-conformité des offres
268,Appel d'offre pour énergie à Tanger,Marché public concernant le secteur énergie dans la région de Rabat-Salé-Kénitra.,Services,Énergie,CHU Casablanca,Maroc,Rabat-Salé-Kénitra,Tanger,2024-02-12,2024-03-14,2024-03-31,2788237,"['Jet Contractors', 'SOGEA', 'SOMAGEC', 'Novec', 'INGEMA', 'TGCC']","[2689166.0433171163, 2759735.511022738, 2760848.727180613, 2830709.6986423163, 3100370.0205268087, 3279903.7448110464]",SOGEA,2759735.511022738,2903455.62,-0.0102,350,Appel d’offres restreint,Note technique et prix,6,Non,14,16,82,Annulé,
269,Appel d'offre pour informatique à Tanger,Marché public concernant le secteur informatique dans la région de Fès-Meknès.,Travaux,Informatique,Ministère de la Santé,Maroc,Fès-Meknès,Tanger,2023-07-18,2023-08-10,2023-08-27,8532858,"['Novec', 'INGEMA', 'SOGEA', 'Jet Contractors', 'SOMAGEC', 'TGCC']","[8401264.061827937, 8890767.914227448, 9260494.86509074, 9396131.433779472, 9686422.963766223, 9741029.448126262]",INGEMA,8890767.914227448,9229351.78,0.0419,137,Appel d’offres ouvert,Note technique et prix,6,Oui,12,18,64,Sans suite,Non-conformité des offres
270,Appel d'offre pour informatique à Tanger,Marché public concernant le secteur informatique dans la région de Souss-Massa.,Fournitures,Informatique,Ministère de l’Équipement,Maroc,Souss-Massa,Tanger,2025-05-15,2025-05-31,2025-06-07,5244137,"['TGCC', 'INGEMA']","[5229591.029832754, 6118379.409813296]",INGEMA,6118379.409813296,5673985.22,0.1667,342,Appel d’offres restreint,Meilleure offre économiquement,2,Oui,8,6,67,Attribué,
271,Appel d'offre pour médical à Fès,Marché public concernant le secteur médical dans la région de Casablanca-Settat.,Fournitures,Médical,Ministère de l’Équipement,Maroc,Casablanca-Settat,Fès,2025-06-09,2025-07-09,2025-07-29,7383422,"['SOMAGEC', 'TGCC']","[8027018.983480925, 8666664.45172475]",TGCC,8666664.45172475,8346841.72,0.1738,280,Gré à gré,Note technique et prix,2,Non,4,6,92,Sans suite,Non-conformité des offres
272,Appel d'offre pour btp à Oujda,Marché public concernant le secteur btp dans la région de Oriental.,Travaux,BTP,ONEE,Maroc,Oriental,Oujda,2023-01-17,2023-01-28,2023-02-08,4819824,"['SOMAGEC', 'TGCC', 'Jet Contractors', 'SOGEA', 'Novec', 'INGEMA']","[4439664.333419737, 4574433.7552262405, 4855046.264035404, 5010613.232340422, 5544520.582262471, 5684699.606653124]",TGCC,4574433.7552262405,5018162.96,-0.0509,168,Appel d’offres ouvert,Note technique et prix,6,Oui,12,11,78,Attribué,
273,Appel d'offre pour btp à Tanger,Marché public concernant le secteur btp dans la région de Fès-Meknès.,Fournitures,BTP,DGSN,Maroc,Fès-Meknès,Tanger,2024-06-12,2024-07-29,2024-08-12,4814549,"['SOMAGEC', 'Jet Contractors', 'INGEMA', 'SOGEA', 'Novec', 'TGCC']","[4724057.93552572, 4786299.528140556, 4899766.451010218, 5347962.483139851, 5410721.647469128, 5547530.118954502]",SOGEA,5347962.483139851,5119389.69,0.1108,336,Appel d’offres ouvert,Meilleure offre économiquement,6,Oui,9,9,89,Sans suite,Non-conformité des offres
274,Appel d'offre pour transport à Oujda,Marché public concernant le secteur transport dans la région de Casablanca-Settat.,Travaux,Transport,CHU Casablanca,Maroc,Casablanca-Settat,Oujda,2024-06-26,2024-07-13,2024-07-22,9503833,"['INGEMA', 'SOGEA', 'SOMAGEC', 'TGCC', 'Jet Contractors', 'Novec']","[9673133.401527701, 9737212.518192986, 10740905.422296954, 10851042.910743868, 11373399.53946319, 11382550.36195621]",Jet Contractors,11373399.53946319,10626374.03,0.1967,131,Appel d’offres ouvert,Meilleure offre économiquement,6,Non,2,9,71,Attribué,
275,Appel d'offre pour informatique à Fès,Marché public concernant le secteur informatique dans la région de Rabat-Salé-Kénitra.,Travaux,Informatique,CHU Casablanca,Maroc,Rabat-Salé-Kénitra,Fès,2023-11-03,2024-01-01,2024-01-21,3141453,"['INGEMA', 'Jet Contractors', 'SOGEA', 'Novec', 'SOMAGEC', 'TGCC']","[2933201.932108433, 3029382.272372463, 3161855.153409607, 3299156.124765438, 3409320.7926076865, 3624706.3214591295]",SOGEA,3161855.153409607,3242937.1,0.0065,336,Appel d’offres ouvert,Meilleure offre économiquement,6,Oui,5,15,96,Attribué,
276,Appel d'offre pour énergie à Agadir,Marché public concernant le secteur énergie dans la région de Casablanca-Settat.,Services,Énergie,Ministère de l’Équipement,Maroc,Casablanca-Settat,Agadir,2025-04-15,2025-05-07,2025-05-27,3877336,"['TGCC', 'SOMAGEC', 'Jet Contractors', 'Novec', 'SOGEA', 'INGEMA']","[3699161.7542799157, 3722800.2633131724, 4235211.763337341, 4291899.779438335, 4326856.795284878, 4552922.572169473]",TGCC,3699161.7542799157,4138142.15,-0.046,174,Gré à gré,Note technique et prix,6,Non,8,12,89,Attribué,
277,Appel d'offre pour médical à Fès,Marché public concernant le secteur médical dans la région de Souss-Massa.,Fournitures,Médical,DGSN,Maroc,Souss-Massa,Fès,2024-07-25,2024-09-23,2024-10-07,7109299,"['TGCC', 'SOGEA']","[6680104.255331579, 7800851.548143994]",SOGEA,7800851.548143994,7240477.9,0.0973,30,Appel d’offres restreint,Meilleure offre économiquement,2,Oui,2,19,98,Attribué,
278,Appel d'offre pour informatique à Tanger,Marché public concernant le secteur informatique dans la région de Fès-Meknès.,Travaux,Informatique,CHU Casablanca,Maroc,Fès-Meknès,Tanger,2025-01-01,2025-03-02,2025-03-12,7700644,"['SOGEA', 'INGEMA']","[7597755.102022399, 8385427.894066031]",INGEMA,8385427.894066031,7991591.5,0.0889,197,Appel d’offres ouvert,Note technique et prix,2,Non,15,3,97,Attribué,
279,Appel d'offre pour informatique à Rabat,Marché public concernant le secteur informatique dans la région de Oriental.,Services,Informatique,ONCF,Maroc,Oriental,Rabat,2023-08-18,2023-10-09,2023-10-18,5602667,"['Jet Contractors', 'SOGEA', 'SOMAGEC', 'Novec', 'TGCC', 'INGEMA']","[5769040.837319563, 5794268.195320524, 6005319.08240297, 6007107.544788962, 6015990.956284873, 6128143.465101514]",INGEMA,6128143.465101514,5953311.68,0.0938,96,Appel d’offres restreint,Note technique et prix,6,Non,7,12,69,Sans suite,Manque de budget
280,Appel d'offre pour btp à Rabat,Marché public concernant le secteur btp dans la région de Souss-Massa.,Fournitures,BTP,DGSN,Maroc,Souss-Massa,Rabat,2024-08-12,2024-10-03,2024-10-11,3385659,"['Jet Contractors', 'SOMAGEC', 'SOGEA', 'TGCC']","[3401377.212985696, 3494566.8941407395, 3606120.038820897, 3994720.2223413773]",Jet Contractors,3401377.212985696,3624196.09,0.0046,243,Appel d’offres restreint,Prix seul,4,Non,0,6,100,Annulé,
281,Appel d'offre pour fournitures scolaires à Rabat,Marché public concernant le secteur fournitures scolaires dans la région de Tanger-Tétouan-Al Hoceïma.,Fournitures,Fournitures scolaires,CHU Casablanca,Maroc,Tanger-Tétouan-Al Hoceïma,Rabat,2023-03-15,2023-04-04,2023-04-16,349507,"['Novec', 'SOMAGEC', 'SOGEA', 'Jet Contractors', 'TGCC']","[362732.1760507366, 366508.0642050708, 377919.86172003666, 396867.5730082887, 416785.4947594694]",SOGEA,377919.86172003666,384162.63,0.0813,32,Appel d’offres ouvert,Note technique et prix,5,Non,2,2,93,Sans suite,
282,Appel d'offre pour fournitures scolaires à Fès,Marché public concernant le secteur fournitures scolaires dans la région de Tanger-Tétouan-Al Hoceïma.,Fournitures,Fournitures scolaires,ONCF,Maroc,Tanger-Tétouan-Al Hoceïma,Fès,2023-02-13,2023-03-03,2023-03-08,1965033,"['SOGEA', 'SOMAGEC', 'Jet Contractors']","[1961547.3346098696, 2063901.3419655156, 2094995.4110771006]",SOMAGEC,2063901.3419655156,2040148.03,0.0503,211,Appel d’offres ouvert,Note technique et prix,3,Oui,3,14,70,Attribué,
283,Appel d'offre pour btp à Tanger,Marché public concernant le secteur btp dans la région de Tanger-Tétouan-Al Hoceïma.,Travaux,BTP,ONEE,Maroc,Tanger-Tétouan-Al Hoceïma,Tanger,2024-11-14,2024-12-15,2024-12-25,8042134,"['SOMAGEC', 'Novec', 'Jet Contractors']","[8584499.975763626, 9162563.083048927, 9234805.262217712]",Jet Contractors,9234805.262217712,8993956.11,0.1483,317,Gré à gré,Prix seul,3,Non,10,10,72,Annulé,Non-conformité des offres
284,Appel d'offre pour informatique à Rabat,Marché public concernant le secteur informatique dans la région de Rabat-Salé-Kénitra.,Services,Informatique,DGSN,Maroc,Rabat-Salé-Kénitra,Rabat,2024-01-16,2024-01-27,2024-02-03,6206365,"['Novec', 'TGCC', 'SOMAGEC', 'INGEMA']","[5880827.055483832, 6258729.526030679, 6546755.181351436, 6583157.230412786]",TGCC,6258729.526030679,6317367.25,0.0084,190,Gré à gré,Meilleure offre économiquement,4,Oui,7,7,97,Sans suite,
285,Appel d'offre pour btp à Tanger,Marché public concernant le secteur btp dans la région de Rabat-Salé-Kénitra.,Fournitures,BTP,ONCF,Maroc,Rabat-Salé-Kénitra,Tanger,2023-01-01,2023-01-16,2023-01-30,3162173,"['TGCC', 'Jet Contractors', 'SOGEA', 'SOMAGEC', 'Novec', 'INGEMA']","[2860877.495501656, 3070176.5255399174, 3161322.2764562834, 3283794.5401000557, 3495583.31847033, 3747710.1354998564]",SOGEA,3161322.2764562834,3269910.72,-0.0003,323,Appel d’offres ouvert,Meilleure offre économiquement,6,Non,12,20,61,Annulé,Non-conformité des offres
286,Appel d'offre pour énergie à Oujda,Marché public concernant le secteur énergie dans la région de Souss-Massa.,Services,Énergie,ONCF,Maroc,Souss-Massa,Oujda,2023-11-20,2024-01-03,2024-01-11,8759198,"['Novec', 'SOMAGEC', 'INGEMA', 'Jet Contractors', 'TGCC']","[8901177.101362178, 8982587.48401086, 9052680.250399824, 9117854.873702392, 9243956.840863636]",Novec,8901177.101362178,9059651.31,0.0162,301,Appel d’offres ouvert,Prix seul,5,Oui,1,9,83,Attribué,
287,Appel d'offre pour transport à Tanger,Marché public concernant le secteur transport dans la région de Fès-Meknès.,Fournitures,Transport,Ministère de l’Équipement,Maroc,Fès-Meknès,Tanger,2024-05-11,2024-07-05,2024-07-15,8916464,"['TGCC', 'SOMAGEC']","[9812101.99387739, 9902391.767545968]",SOMAGEC,9902391.767545968,9857246.88,0.1106,86,Appel d’offres restreint,Prix seul,2,Non,3,12,83,Annulé,
