id_appel_offre,titre,description,categorie_marche,secteur,organisme_emetteur,pays,region,ville,date_publication,date_limite,date_resultat,budget_estime,soumissionnaires,montants_soumis,soumissionnaire_gagnant,montant_gagnant,montant_moyen,ecart_montant_vs_budget,delai_execution,type_procedure,critere_attribution,nombre_soumissionnaires,historique_gagnant_dans_les_3_derniers_ao,nombre_ao_gagnes_par_gagnant,experience_gagnant,notation_technique_gagnant,statut_ao,motif_annulation,notes_techniques_non_gagnants,capacites_financieres,experiences_non_gagnants,historiques_non_gagnants,complexite_projet,exigences_techniques_detaillees,localisations_soumissionnaires,tailles_entreprises,contexte_economique,poids_criteres_attribution,historique_ao_similaires,details_annulations
5032,Appel d'offre pour informatique à Tanger,Marché public concernant le secteur informatique pour Ministère de la Santé,Fournitures,Informatique,Ministère de la Santé,Maroc,Rabat-Salé-Kénitra,Tanger,2025-07-13,2025-08-23,2025-09-02,2031216 DH,TOTAL MAROC; SUEZ; EIFFAGE; SOGEC; CDG; COSUMAR; INGEMA; Novec,2244478.74; 2261917.65; 2326517.61; 1763030.61; 2213785.5; 1644698.37; 2398655.41; 1772608.18,COSUMAR,1644698.37 DH,2078211.51 DH,-0.1903,181,Appel d'offres ouvert,Rapport qualité-prix,8,Oui,8,6,87,Sans suite,Budget insuffisant,75; 78; 94; 62; 79; 69; 76,310063115; 42204949; 198538577; 333994889; 491059695; 143430861; 92960870; 61745651,11; 4; 12; 20; 19; 17; 21,5; 11; 0; 12; 8; 10; 1,Faible,"Normes ISO 45001, Technologies avancées",Oujda; Agadir; Beni Mellal; Fès; El Jadida; El Jadida; Oujda; Casablanca,ETI; PME; PME; Grande entreprise; ETI; ETI; PME; ETI,"Inflation: 2.4%, Croissance: 3.0%","Technique: 48%, Prix: 52%",Derniers 12 mois: 30 AO similaires,Taux d'annulation secteur: 18%
5033,Appel d'offre pour médical à Khouribga,Marché public concernant le secteur médical pour Ministère de l'Équipement,Travaux,Médical,Ministère de l'Équipement,Maroc,Fès-Meknès,Khouribga,2025-07-13,2025-08-17,2025-08-20,22241020 DH,LYDEC; ATLAS HOSPITALITY; CHINA RAILWAY,23048862.86; 26622333.43; 26081130.64,CHINA RAILWAY,26081130.64 DH,25250775.64 DH,0.1727,254,Appel d'offres restreint,Prix seul,3,Oui,2,20,90,Attribué,Non applicable,71; 64,213630800; 159709180; 255697275,21; 17,10; 4,Moyenne,"Normes ISO 22000, Technologies éprouvées",Oujda; Mohammedia; Marrakech,Moyenne entreprise; Grande entreprise; PME,"Inflation: 2.3%, Croissance: 4.8%","Technique: 51%, Prix: 49%",Derniers 12 mois: 45 AO similaires,Taux d'annulation secteur: 20%
5034,Appel d'offre pour agriculture à Tétouan,Marché public concernant le secteur agriculture pour Ministère de l'Éducation,Travaux,Agriculture,Ministère de l'Éducation,Maroc,Dakhla-Oued Ed-Dahab,Tétouan,2025-07-13,2025-08-24,2025-08-28,24042868 DH,BMCE; SOGEC; EIFFAGE; SGTM,25467305.49; 25193965.33; 20117692.43; 19576951.14,EIFFAGE,20117692.43 DH,22588978.60 DH,-0.1633,268,Procédure négociée,Critères multiples,4,Non,7,10,88,Attribué,Non applicable,69; 93; 73,17541331; 56219050; 381243115; 411166218,17; 4; 7,5; 10; 12,Faible,"Normes ISO 45001, Technologies certifiées",Mohammedia; Rabat; Temara; Oujda,Grande entreprise; Moyenne entreprise; PME; Grande entreprise,"Inflation: 2.8%, Croissance: 3.8%","Technique: 79%, Prix: 21%",Derniers 12 mois: 42 AO similaires,Taux d'annulation secteur: 5%
5035,Appel d'offre pour transport à Casablanca,Marché public concernant le secteur transport pour Office National de l'Électricité et de l'Eau Potable,Services,Transport,Office National de l'Électricité et de l'Eau Potable,Maroc,Drâa-Tafilalet,Casablanca,2025-07-13,2025-08-31,2025-09-04,6688496 DH,COSUMAR; CIMAR; DELL MAROC; VEOLIA; CISCO MAROC,6873057.06; 6885951.65; 7603650.57; 6879188.61; 7226678.64,CISCO MAROC,7226678.64 DH,7093705.31 DH,0.0805,125,Concours,Meilleure offre économiquement,5,Oui,8,13,87,Attribué,Non applicable,67; 71; 90; 70,106075181; 438177752; 270971608; 204777104; 495899653,7; 15; 8; 10,3; 12; 6; 6,Faible,"Normes ISO 9001, Technologies éprouvées",Nador; Kenitra; Berrechid; Salé; Beni Mellal,PME; ETI; Moyenne entreprise; Moyenne entreprise; PME,"Inflation: 2.4%, Croissance: 2.1%","Technique: 78%, Prix: 22%",Derniers 12 mois: 20 AO similaires,Taux d'annulation secteur: 11%
5036,Appel d'offre pour transport à Tanger,Marché public concernant le secteur transport pour Ministère de l'Équipement,Services,Transport,Ministère de l'Équipement,Maroc,Marrakech-Safi,Tanger,2025-07-13,2025-08-11,2025-08-16,17118856 DH,OCP; HP MAROC; CIMAR; LAFARGE,20001067.28; 18341540.2; 16586752.11; 18753341.79,HP MAROC,18341540.2 DH,18420675.34 DH,0.0714,54,Appel d'offres restreint,Prix seul,4,Non,7,21,99,Sans suite,Changement de priorités,86; 74; 61,207026970; 94122569; 77333266; 262256352,20; 11; 11,11; 0; 4,Faible,"Normes ISO 14001, Technologies avancées",Kenitra; Mohammedia; Oujda; Khouribga,PME; Moyenne entreprise; ETI; Moyenne entreprise,"Inflation: 2.1%, Croissance: 3.6%","Technique: 46%, Prix: 54%",Derniers 12 mois: 14 AO similaires,Taux d'annulation secteur: 12%
5037,Appel d'offre pour btp à Safi,Marché public concernant le secteur btp pour Ministère de la Santé,Services,BTP,Ministère de la Santé,Maroc,Dakhla-Oued Ed-Dahab,Safi,2025-07-13,2025-08-09,2025-08-13,3211450 DH,MAGHREB STEEL; BMCE; CIMAR; VEOLIA; ATTIJARI,3176049.68; 2620228.24; 2686107.87; 3464038.04; 3681832.83,BMCE,2620228.24 DH,3125651.33 DH,-0.1841,86,Gré à gré,Meilleure offre économiquement,5,Oui,10,22,98,Attribué,Non applicable,92; 82; 99; 99,319752902; 418267432; 259638009; 147200313; 274192888,23; 17; 18; 6,7; 4; 0; 3,Moyenne,"Normes ISO 45001, Technologies éprouvées",Casablanca; Settat; Agadir; Tétouan; Berrechid,Grande entreprise; Grande entreprise; PME; ETI; ETI,"Inflation: 1.0%, Croissance: 2.7%","Technique: 60%, Prix: 40%",Derniers 12 mois: 33 AO similaires,Taux d'annulation secteur: 5%
5038,Appel d'offre pour fournitures scolaires à Tanger,Marché public concernant le secteur fournitures scolaires pour Ministère de la Santé,Fournitures,Fournitures scolaires,Ministère de la Santé,Maroc,Dakhla-Oued Ed-Dahab,Tanger,2025-07-13,2025-08-24,2025-08-30,23191742 DH,TRAVOCÉAN; CIMAR; MANAGEM; SAHAM; COSUMAR; VINCI; INGEMA; ATTIJARI,22746851.27; 27340660.86; 21227334.19; 19729070.44; 20392718.73; 23222618.49; 20406529.81; 22331778.55,SAHAM,19729070.44 DH,22174695.29 DH,-0.1493,187,Appel d'offres restreint,Rapport qualité-prix,8,Non,10,8,98,Sans suite,Changement de priorités,74; 70; 68; 60; 75; 79; 76,47438093; 450313241; 163316630; 153742274; 253581951; 321181892; 375531767; 237986844,20; 6; 13; 21; 11; 21; 24,8; 7; 1; 7; 8; 6; 6,Moyenne,"Normes ISO 9001, Technologies innovantes",Tétouan; Tanger; Temara; Berrechid; Berrechid; Beni Mellal; Khouribga; Kenitra,Grande entreprise; ETI; PME; ETI; PME; ETI; ETI; ETI,"Inflation: 3.8%, Croissance: 2.4%","Technique: 48%, Prix: 52%",Derniers 12 mois: 40 AO similaires,Taux d'annulation secteur: 18%
5039,Appel d'offre pour médical à Temara,Marché public concernant le secteur médical pour Ministère de la Justice,Travaux,Médical,Ministère de la Justice,Maroc,Fès-Meknès,Temara,2025-07-13,2025-08-28,2025-09-02,38317069 DH,HOLCIM; MANAGEM; INGEMA; CIMAR; DELTA HOLDING; OCP; ORANGE MAROC; Novec,44082322.81; 42823340.27; 32195400.59; 38284196.69; 40752549.53; 37386161.32; 43054503.82; 33762054.4,CIMAR,38284196.69 DH,39042566.18 DH,-0.0009,303,Procédure négociée,Rapport qualité-prix,8,Oui,11,20,97,Attribué,Non applicable,94; 66; 67; 82; 64; 79; 60,51581473; 220057297; 321773789; 397825033; 437245229; 268907774; 319261268; 342607692,4; 9; 4; 19; 9; 12; 10,15; 1; 14; 5; 6; 15; 5,Faible,"Normes ISO 27001, Technologies certifiées",Casablanca; Mohammedia; Kenitra; El Jadida; Tanger; Agadir; Safi; Settat,ETI; PME; Moyenne entreprise; ETI; Grande entreprise; PME; PME; ETI,"Inflation: 1.2%, Croissance: 3.6%","Technique: 74%, Prix: 26%",Derniers 12 mois: 30 AO similaires,Taux d'annulation secteur: 16%
5040,Appel d'offre pour médical à Settat,Marché public concernant le secteur médical pour Office National des Aéroports,Services,Médical,Office National des Aéroports,Maroc,Tanger-Tétouan-Al Hoceïma,Settat,2025-07-13,2025-08-13,2025-08-17,29215335 DH,TECHNO PARK; ATLAS HOSPITALITY; VINCI; SAHAM; HOLCIM; CAPGEMINI MAROC; AFRIQUIA; EIFFAGE,32109157.63; 33406732.69; 24873274.56; 29390279.06; 31242862.61; 25582292.83; 28998273.02; 33576610.0,VINCI,24873274.56 DH,29897435.30 DH,-0.1486,357,Appel d'offres ouvert,Meilleure offre économiquement,8,Oui,5,23,91,Sans suite,Absence d'offres,85; 85; 94; 74; 75; 76; 95,209700254; 136937154; 215279703; 382757927; 87891052; 474427724; 187864113; 372326933,10; 13; 6; 7; 13; 16; 8,4; 13; 10; 1; 14; 1; 2,Moyenne,"Normes ISO 14001, Technologies modernes",Kenitra; Marrakech; Tétouan; Berrechid; Rabat; Settat; Settat; Casablanca,PME; Moyenne entreprise; ETI; PME; PME; Moyenne entreprise; Moyenne entreprise; ETI,"Inflation: 2.6%, Croissance: 2.3%","Technique: 76%, Prix: 24%",Derniers 12 mois: 29 AO similaires,Taux d'annulation secteur: 16%
5041,Appel d'offre pour agriculture à Nador,Marché public concernant le secteur agriculture pour Office National des Aéroports,Travaux,Agriculture,Office National des Aéroports,Maroc,Souss-Massa,Nador,2025-07-13,2025-08-23,2025-09-03,25966094 DH,INWI; REDAL; ATLAS HOSPITALITY,30764557.88; 25163569.01; 22115581.15,ATLAS HOSPITALITY,22115581.15 DH,26014569.35 DH,-0.1483,196,Procédure négociée,Rapport qualité-prix,3,Non,14,13,92,Sans suite,Changement de priorités,65; 94,395099055; 177867558; 84042639,8; 7,0; 8,Faible,"Normes ISO 45001, Technologies avancées",Tanger; Tanger; Settat,ETI; Moyenne entreprise; Grande entreprise,"Inflation: 1.7%, Croissance: 3.2%","Technique: 70%, Prix: 30%",Derniers 12 mois: 27 AO similaires,Taux d'annulation secteur: 8%
5042,Appel d'offre pour fournitures scolaires à Salé,Marché public concernant le secteur fournitures scolaires pour Office National de Sécurité Sanitaire,Fournitures,Fournitures scolaires,Office National de Sécurité Sanitaire,Maroc,Laâyoune-Sakia El Hamra,Salé,2025-07-13,2025-08-23,2025-08-31,36440093 DH,CISCO MAROC; SHELL MAROC; REDAL; CIMAR; TECHNO PARK; BMCE,37010192.75; 35747231.1; 35620796.88; 30075174.06; 36327691.99; 43326248.42,CIMAR,30075174.06 DH,36351222.53 DH,-0.1747,305,Appel d'offres restreint,Rapport qualité-prix,6,Oui,14,3,90,Attribué,Non applicable,60; 70; 75; 65; 93,129299702; 175625877; 329587821; 404703311; 425110627; 86564489,6; 16; 4; 24; 16,7; 14; 8; 10; 3,Faible,"Normes ISO 14001, Technologies modernes",Beni Mellal; Beni Mellal; Tétouan; Tanger; Kenitra; Khouribga,PME; Grande entreprise; Moyenne entreprise; Moyenne entreprise; Grande entreprise; Grande entreprise,"Inflation: 3.0%, Croissance: 3.6%","Technique: 78%, Prix: 22%",Derniers 12 mois: 44 AO similaires,Taux d'annulation secteur: 14%
5043,Appel d'offre pour transport à Kenitra,Marché public concernant le secteur transport pour Caisse de Dépôt et de Gestion,Fournitures,Transport,Caisse de Dépôt et de Gestion,Maroc,Dakhla-Oued Ed-Dahab,Kenitra,2025-07-13,2025-08-19,2025-09-03,31178392 DH,SOGEC; INGEMA; SUEZ; CDG,26320504.94; 34200813.66; 31119102.6; 35555892.91,CDG,35555892.91 DH,31799078.53 DH,0.1404,82,Appel d'offres ouvert,Rapport qualité-prix,4,Non,11,19,96,Annulé,Absence d'offres,68; 90; 60,75711613; 250859145; 360707708; 450554577,11; 4; 11,4; 10; 3,Élevée,"Normes ISO 45001, Technologies modernes",Oujda; Meknès; Agadir; Mohammedia,PME; PME; Grande entreprise; Moyenne entreprise,"Inflation: 1.9%, Croissance: 4.3%","Technique: 62%, Prix: 38%",Derniers 12 mois: 36 AO similaires,Taux d'annulation secteur: 17%
5044,Appel d'offre pour énergie à El Jadida,Marché public concernant le secteur énergie pour Office National des Chemins de Fer,Services,Énergie,Office National des Chemins de Fer,Maroc,Tanger-Tétouan-Al Hoceïma,El Jadida,2025-07-13,2025-08-24,2025-08-27,8178908 DH,CHINA RAILWAY; OCP; BOUYGUES; COSUMAR; CAPGEMINI MAROC; DELTA HOLDING,9453673.26; 9771960.19; 6867517.73; 7279448.8; 8151132.54; 8863874.06,DELTA HOLDING,8863874.06 DH,8397934.43 DH,0.0837,358,Concours,Prix seul,6,Non,6,8,97,Annulé,Changement de priorités,68; 80; 73; 65; 91,467884897; 443258706; 38241131; 337020211; 89425000; 395929728,5; 10; 18; 20; 12,4; 3; 6; 2; 5,Moyenne,"Normes ISO 9001, Technologies modernes",Temara; Temara; Settat; Tanger; Tanger; Fès,PME; Grande entreprise; Grande entreprise; PME; ETI; ETI,"Inflation: 2.7%, Croissance: 2.5%","Technique: 55%, Prix: 45%",Derniers 12 mois: 12 AO similaires,Taux d'annulation secteur: 10%
5045,Appel d'offre pour conseil à Meknès,Marché public concernant le secteur conseil pour Ministère de l'Agriculture,Services,Conseil,Ministère de l'Agriculture,Maroc,Marrakech-Safi,Meknès,2025-07-13,2025-09-11,2025-09-25,45296203 DH,CIMAR; EIFFAGE; BOUYGUES; SHELL MAROC; AFRIQUIA; IBM MAROC,49318844.43; 43950836.65; 52340215.22; 41688784.08; 45128338.6; 47658203.28,SHELL MAROC,41688784.08 DH,46680870.38 DH,-0.0796,338,Gré à gré,Rapport qualité-prix,6,Oui,3,14,85,Annulé,Spécifications techniques inadéquates,84; 64; 74; 63; 89,424076391; 361097974; 79072124; 291438820; 35176006; 345873535,5; 14; 22; 11; 3,12; 15; 4; 7; 6,Élevée,"Normes ISO 22000, Technologies éprouvées",Settat; Rabat; Casablanca; Marrakech; Temara; Beni Mellal,Moyenne entreprise; Grande entreprise; Moyenne entreprise; Grande entreprise; ETI; PME,"Inflation: 1.4%, Croissance: 4.6%","Technique: 46%, Prix: 54%",Derniers 12 mois: 42 AO similaires,Taux d'annulation secteur: 15%
5046,Appel d'offre pour maintenance à Salé,Marché public concernant le secteur maintenance pour Agence Nationale de Réglementation des Télécommunications,Travaux,Maintenance,Agence Nationale de Réglementation des Télécommunications,Maroc,Rabat-Salé-Kénitra,Salé,2025-07-13,2025-08-24,2025-08-28,31225895 DH,TOTAL MAROC; MANAGEM; DELTA HOLDING; DELL MAROC; EIFFAGE; IBM MAROC; CDG; SUEZ,26267487.56; 28474007.65; 34169242.72; 30486870.34; 32913270.35; 34326759.76; 35951537.1; 27804490.61,SUEZ,27804490.61 DH,31299208.26 DH,-0.1096,105,Procédure négociée,Critères multiples,8,Oui,5,6,97,Attribué,Non applicable,76; 76; 63; 74; 78; 68; 80,314915757; 105760709; 363461480; 435673259; 10521736; 242101122; 198158244; 100754861,22; 4; 16; 9; 11; 23; 8,2; 3; 15; 4; 9; 0; 8,Élevée,"Normes ISO 45001, Technologies modernes",Nador; Temara; Beni Mellal; Fès; Tétouan; Salé; Agadir; Salé,ETI; ETI; Grande entreprise; PME; Grande entreprise; Moyenne entreprise; PME; ETI,"Inflation: 1.2%, Croissance: 2.3%","Technique: 64%, Prix: 36%",Derniers 12 mois: 18 AO similaires,Taux d'annulation secteur: 10%
5047,Appel d'offre pour maintenance à Temara,Marché public concernant le secteur maintenance pour Agence Nationale de l'Assurance Maladie,Travaux,Maintenance,Agence Nationale de l'Assurance Maladie,Maroc,Fès-Meknès,Temara,2025-07-13,2025-08-10,2025-08-23,45600283 DH,CISCO MAROC; EIFFAGE; SAHAM; SGTM; INGEMA; OCP,39582479.03; 47518052.77; 47418660.01; 53511960.76; 50725803.4; 48520513.99,CISCO MAROC,39582479.03 DH,47879578.33 DH,-0.132,87,Appel d'offres ouvert,Rapport qualité-prix,6,Oui,12,11,82,Sans suite,Changement de priorités,74; 62; 70; 80; 80,212370140; 60862447; 353942992; 192622473; 118858067; 34815933,22; 22; 19; 24; 7,2; 0; 10; 5; 8,Faible,"Normes ISO 14001, Technologies modernes",Safi; Temara; Salé; Tanger; Khouribga; Fès,Grande entreprise; PME; PME; PME; Grande entreprise; PME,"Inflation: 3.4%, Croissance: 4.8%","Technique: 43%, Prix: 57%",Derniers 12 mois: 48 AO similaires,Taux d'annulation secteur: 16%
5048,Appel d'offre pour sécurité à Fès,Marché public concernant le secteur sécurité pour Office National des Hydrocarbures,Fournitures,Sécurité,Office National des Hydrocarbures,Maroc,Tanger-Tétouan-Al Hoceïma,Fès,2025-07-13,2025-08-23,2025-08-31,47110858 DH,OCP; LAFARGE; TGCC; COVEC; BOUYGUES; COSUMAR; AMENDIS,41689465.71; 43847723.79; 40876388.18; 40064376.63; 50615637.81; 42162551.7; 45812736.55,COVEC,40064376.63 DH,43581268.62 DH,-0.1496,355,Concours,Critères multiples,7,Oui,14,17,99,Sans suite,Insuffisance technique,68; 63; 68; 98; 84; 87,71991132; 426312163; 415821767; 266500409; 405454210; 360754270; 53221296,20; 12; 3; 12; 15; 20,9; 2; 12; 15; 8; 0,Élevée,"Normes ISO 27001, Technologies modernes",Marrakech; Agadir; Casablanca; Berrechid; Tanger; Safi; El Jadida,ETI; Grande entreprise; ETI; PME; PME; Grande entreprise; Grande entreprise,"Inflation: 2.9%, Croissance: 4.5%","Technique: 53%, Prix: 47%",Derniers 12 mois: 9 AO similaires,Taux d'annulation secteur: 17%
5049,Appel d'offre pour sécurité à Rabat,Marché public concernant le secteur sécurité pour Ministère de l'Équipement,Fournitures,Sécurité,Ministère de l'Équipement,Maroc,Béni Mellal-Khénifra,Rabat,2025-07-13,2025-09-06,2025-09-20,10534130 DH,SOGEA; AMENDIS; MAGHREB STEEL; CISCO MAROC; HOLCIM; MAROC TELECOM,8446640.4; 9824141.34; 12242040.9; 11832028.6; 11192599.18; 9622937.73,SOGEA,8446640.4 DH,10526731.36 DH,-0.1982,90,Concours,Rapport qualité-prix,6,Oui,9,18,99,Attribué,Non applicable,65; 65; 72; 60; 84,463746149; 61450491; 19251797; 277172313; 306875773; 29293691,24; 3; 20; 16; 21,14; 2; 7; 5; 10,Très élevée,"Normes ISO 22000, Technologies avancées",Nador; Beni Mellal; Tétouan; Beni Mellal; Oujda; Rabat,ETI; ETI; PME; ETI; Grande entreprise; PME,"Inflation: 2.1%, Croissance: 4.8%","Technique: 67%, Prix: 33%",Derniers 12 mois: 17 AO similaires,Taux d'annulation secteur: 11%
5050,Appel d'offre pour conseil à Temara,Marché public concernant le secteur conseil pour Ministère de la Santé,Services,Conseil,Ministère de la Santé,Maroc,Tanger-Tétouan-Al Hoceïma,Temara,2025-07-13,2025-09-05,2025-09-09,40183227 DH,OCP; TECHNO PARK; AFRIQUIA; SOGEC,34712856.52; 44845502.24; 42425823.65; 45976825.88,TECHNO PARK,44845502.24 DH,41990252.07 DH,0.116,86,Concours,Meilleure offre économiquement,4,Oui,4,13,88,Annulé,Non-conformité des offres,68; 62; 84,365213998; 25890186; 228274483; 339417008,13; 5; 5,7; 3; 10,Moyenne,"Normes ISO 9001, Technologies éprouvées",Khouribga; Casablanca; Temara; Beni Mellal,Grande entreprise; Moyenne entreprise; Moyenne entreprise; PME,"Inflation: 1.8%, Croissance: 2.7%","Technique: 43%, Prix: 57%",Derniers 12 mois: 32 AO similaires,Taux d'annulation secteur: 12%
5051,Appel d'offre pour informatique à Casablanca,Marché public concernant le secteur informatique pour Agence Nationale de la Conservation Foncière,Travaux,Informatique,Agence Nationale de la Conservation Foncière,Maroc,Béni Mellal-Khénifra,Casablanca,2025-07-13,2025-08-22,2025-08-25,34647311 DH,MAJOREL; BMCE; WAFA; REDAL,38861280.09; 40425360.89; 33404952.82; 28819700.32,BMCE,40425360.89 DH,35377823.53 DH,0.1668,350,Procédure négociée,Rapport qualité-prix,4,Non,14,18,96,Attribué,Non applicable,92; 77; 76,441997596; 447728019; 141393791; 236518247,21; 10; 21,1; 10; 4,Élevée,"Normes ISO 27001, Technologies avancées",Agadir; Berrechid; Meknès; Kenitra,Grande entreprise; ETI; PME; PME,"Inflation: 2.2%, Croissance: 3.9%","Technique: 52%, Prix: 48%",Derniers 12 mois: 21 AO similaires,Taux d'annulation secteur: 7%
5052,Appel d'offre pour environnement à Casablanca,Marché public concernant le secteur environnement pour Office National de l'Électricité et de l'Eau Potable,Services,Environnement,Office National de l'Électricité et de l'Eau Potable,Maroc,Souss-Massa,Casablanca,2025-07-13,2025-08-06,2025-08-12,44942568 DH,MICROSOFT MAROC; HP MAROC; SOGEC; DELTA HOLDING; HOLCIM; SAHAM,39580944.71; 48286326.45; 49711755.92; 43519239.78; 40430759.88; 45579638.61,MICROSOFT MAROC,39580944.71 DH,44518110.89 DH,-0.1193,65,Appel d'offres restreint,Critères multiples,6,Non,13,16,72,Sans suite,Absence d'offres,84; 61; 63; 70; 65,10297191; 429963886; 364815911; 445790639; 468232748; 64371337,15; 24; 23; 25; 19,10; 2; 5; 13; 14,Très élevée,"Normes ISO 14001, Technologies éprouvées",Agadir; Oujda; Mohammedia; Agadir; Settat; Mohammedia,ETI; Moyenne entreprise; ETI; PME; PME; Moyenne entreprise,"Inflation: 3.7%, Croissance: 2.3%","Technique: 64%, Prix: 36%",Derniers 12 mois: 33 AO similaires,Taux d'annulation secteur: 7%
5053,Appel d'offre pour btp à El Jadida,Marché public concernant le secteur btp pour Barid Al-Maghrib,Services,BTP,Barid Al-Maghrib,Maroc,Drâa-Tafilalet,El Jadida,2025-07-13,2025-08-24,2025-09-04,18981177 DH,VINCI; HOLCIM; TRAVOCÉAN; OCP; MAGHREB STEEL; INGEMA,22559998.75; 18753930.74; 19763264.5; 19564968.86; 21441196.28; 18415992.86,TRAVOCÉAN,19763264.5 DH,20083225.33 DH,0.0412,73,Appel d'offres ouvert,Meilleure offre économiquement,6,Non,14,6,97,Attribué,Non applicable,85; 84; 94; 62; 88,121506749; 300026072; 370784297; 20636352; 362525537; 410730077,24; 23; 10; 24; 20,5; 4; 10; 13; 15,Très élevée,"Normes ISO 22000, Technologies avancées",Salé; Beni Mellal; Meknès; Fès; Nador; Casablanca,Moyenne entreprise; ETI; Moyenne entreprise; Moyenne entreprise; PME; ETI,"Inflation: 3.3%, Croissance: 2.9%","Technique: 76%, Prix: 24%",Derniers 12 mois: 47 AO similaires,Taux d'annulation secteur: 18%
5054,Appel d'offre pour btp à Settat,Marché public concernant le secteur btp pour Barid Al-Maghrib,Services,BTP,Barid Al-Maghrib,Maroc,Marrakech-Safi,Settat,2025-07-13,2025-08-07,2025-08-19,29405679 DH,LYDEC; COVEC; OCP; COSUMAR; TRAVOCÉAN,25004686.89; 27069069.36; 28375522.32; 30880669.77; 32120007.93,LYDEC,25004686.89 DH,28689991.25 DH,-0.1497,218,Concours,Prix seul,5,Non,10,15,73,Attribué,Non applicable,67; 64; 71; 69,17572468; 113548049; 265356586; 433697682; 475980158,4; 7; 17; 16,7; 14; 2; 12,Très élevée,"Normes ISO 45001, Technologies éprouvées",Agadir; Berrechid; Berrechid; Salé; El Jadida,ETI; Grande entreprise; Grande entreprise; Moyenne entreprise; Grande entreprise,"Inflation: 1.8%, Croissance: 2.7%","Technique: 43%, Prix: 57%",Derniers 12 mois: 19 AO similaires,Taux d'annulation secteur: 14%
5055,Appel d'offre pour informatique à Marrakech,Marché public concernant le secteur informatique pour Caisse de Dépôt et de Gestion,Fournitures,Informatique,Caisse de Dépôt et de Gestion,Maroc,Guelmim-Oued Noun,Marrakech,2025-07-13,2025-09-01,2025-09-14,31246445 DH,HOLCIM; IBM MAROC; VINCI; ATLAS HOSPITALITY; MAJOREL; DELTA HOLDING; ATTIJARI; CHINA RAILWAY,34605656.13; 29543289.63; 26507055.15; 28537108.96; 26458695.21; 25872178.04; 37480240.02; 27223317.95,MAJOREL,26458695.21 DH,29528442.64 DH,-0.1532,130,Gré à gré,Meilleure offre économiquement,8,Non,7,15,91,Sans suite,Changement de priorités,92; 73; 77; 87; 62; 79; 75,434171325; 426451821; 278633319; 261828441; 186949166; 392621311; 434233511; 105365749,10; 10; 10; 6; 13; 10; 3,15; 9; 4; 8; 0; 6; 9,Très élevée,"Normes ISO 27001, Technologies innovantes",Beni Mellal; Khouribga; Marrakech; Safi; Salé; Tanger; Tanger; Kenitra,Moyenne entreprise; Moyenne entreprise; Moyenne entreprise; Moyenne entreprise; PME; Moyenne entreprise; Moyenne entreprise; PME,"Inflation: 2.3%, Croissance: 4.2%","Technique: 54%, Prix: 46%",Derniers 12 mois: 27 AO similaires,Taux d'annulation secteur: 19%
5056,Appel d'offre pour maintenance à Agadir,Marché public concernant le secteur maintenance pour Caisse de Dépôt et de Gestion,Fournitures,Maintenance,Caisse de Dépôt et de Gestion,Maroc,Souss-Massa,Agadir,2025-07-13,2025-08-16,2025-08-21,49701318 DH,REDAL; TOTAL MAROC; SOREAD; TGCC,40587478.27; 40796793.47; 53697086.06; 49283614.93,REDAL,40587478.27 DH,46091243.18 DH,-0.1834,84,Concours,Critères multiples,4,Oui,9,18,100,Attribué,Non applicable,98; 78; 67,31395624; 291815050; 345373865; 30607571,18; 13; 20,12; 10; 3,Faible,"Normes ISO 27001, Technologies innovantes",Fès; Safi; Beni Mellal; Safi,Grande entreprise; Grande entreprise; ETI; PME,"Inflation: 1.3%, Croissance: 2.3%","Technique: 50%, Prix: 50%",Derniers 12 mois: 19 AO similaires,Taux d'annulation secteur: 9%
5057,Appel d'offre pour énergie à Fès,Marché public concernant le secteur énergie pour Ministère de l'Intérieur,Fournitures,Énergie,Ministère de l'Intérieur,Maroc,Laâyoune-Sakia El Hamra,Fès,2025-07-13,2025-08-04,2025-08-19,23998922 DH,VEOLIA; CIMAR; MAJOREL; REDAL,20969334.51; 24049111.61; 23929115.78; 27865735.19,VEOLIA,20969334.51 DH,24203324.27 DH,-0.1262,183,Concours,Prix seul,4,Non,11,6,100,Sans suite,Budget insuffisant,91; 100; 76,171122812; 468654112; 340308649; 266507463,11; 19; 20,6; 15; 7,Élevée,"Normes ISO 45001, Technologies certifiées",Khouribga; Temara; Berrechid; Safi,PME; PME; ETI; Moyenne entreprise,"Inflation: 1.7%, Croissance: 3.8%","Technique: 40%, Prix: 60%",Derniers 12 mois: 14 AO similaires,Taux d'annulation secteur: 20%
