reference,objet_marche,budget,date_publication,maitre_ouvrage_nom,maitre_ouvrage_adresse,maitre_ouvrage_telephone,maitre_ouvrage_fax,delai_execution_total,delai_execution_phase1,delai_execution_phase2,documents_administratif,documents_technique,documents_financier,conditions_participation,chef_mission_diplome,chef_mission_experience,chef_mission_competences,expert_exploitation_diplome,expert_exploitation_experience,expert_exploitation_competences,expert_maintenance_diplome,expert_maintenance_experience,expert_maintenance_competences,note_technique,note_financiere,note_minimale,ponderation_technique,ponderation_financiere,mode_soumission_electronique,support_portail
AO-2025-5498,Travaux de rénovation de bâtiments,19 363 889 DH,2025-08-01,Ministère de l'Intérieur,"191, rue Alexandre, Agadir",+33 (0)2 49 06 19 52,+33 (0)2 45 19 71 77,294 jours,134 jours,160 jours,Caution provisoire; Procuration (si applicable); Attestation fiscale,Planning d'exécution; Références similaires; Certificats de conformité,Bilan des 3 dernières années; Attestation bancaire; Devis quantitatif et estimatif; Bordereau des prix unitaires,Justifier d'une expérience de 5 ans minimum; Avoir un chiffre d'affaires minimum de 5M DH; Disposer d'un personnel qualifié; Fournir une caution provisoire de 2% du montant estimé; Être en règle avec les obligations fiscales,Master spécialisé,12 ans,Analyse technique; Formation; Normes ISO; Expertise sectorielle; Gestion de projet,Diplôme d'ingénieur,11 ans,Analyse technique; Formation; Planification; Management d'équipe; Contrôle qualité,Diplôme d'ingénieur,6 ans,Formation; Analyse technique; Management d'équipe; Normes ISO,74%,26%,60%,74%,26%,True,www.marchespublics.gov.ma
AO-2025-6839,Maintenance des équipements électriques,41 903 516 DH,2025-08-11,Ministère de l'Intérieur,"859, rue Josette Boyer, Casablanca",+33 (0)4 58 56 85 19,0365637840,264 jours,81 jours,183 jours,Attestation fiscale; Registre de commerce; Procuration (si applicable),Note technique détaillée; Références similaires; Certificats de conformité,Chiffre d'affaires des 3 dernières années; Bordereau des prix unitaires; Acte d'engagement,Justifier d'une expérience de 5 ans minimum; Fournir une caution provisoire de 2% du montant estimé; Être inscrit au registre de commerce,MBA,8 ans,Audit technique; Normes ISO; Contrôle qualité; Formation,Doctorat,5 ans,Formation; Normes ISO; Gestion de projet; Analyse technique; Management d'équipe,Doctorat,11 ans,Audit technique; Formation; Normes ISO,63%,37%,60%,63%,37%,True,www.marchespublics.gov.ma
AO-2025-5305,Fourniture de mobilier de bureau,9 142 205 DH,2025-07-19,Office National de l'Électricité et de l'Eau Potable,"avenue de Rey, Safi",+33 (0)5 33 93 02 84,+33 5 34 71 81 43,161 jours,53 jours,108 jours,Attestation fiscale; Certificat de qualification et classification; Caution provisoire; Procuration (si applicable); Attestation CNSS,Planning d'exécution; Note technique détaillée; Références similaires; Attestations de formation; Certificats de conformité,Chiffre d'affaires des 3 dernières années; Attestation bancaire; Bilan des 3 dernières années; Devis quantitatif et estimatif,Avoir un chiffre d'affaires minimum de 5M DH; Fournir une caution provisoire de 2% du montant estimé; Justifier d'une expérience de 5 ans minimum,Diplôme d'ingénieur,20 ans,Contrôle qualité; Audit technique; Normes ISO; Expertise sectorielle; Planification,Master spécialisé,9 ans,Gestion de projet; Planification; Expertise sectorielle; Normes ISO; Audit technique,Master en management,15 ans,Gestion de projet; Planification; Audit technique; Formation; Analyse technique,76%,24%,60%,76%,24%,True,www.marchespublics.gov.ma
AO-2025-9064,Travaux de rénovation de bâtiments,4 338 661 DH,2025-07-26,Office National de l'Électricité et de l'Eau Potable,"2, rue de Lopes, Safi",+33 (0)4 58 32 38 27,02 78 59 15 67,349 jours,164 jours,185 jours,Registre de commerce; Certificat de qualification et classification; Caution provisoire,CV des intervenants; Note technique détaillée; Certificats de conformité; Références similaires,Bordereau des prix unitaires; Chiffre d'affaires des 3 dernières années; Attestation bancaire,Fournir une caution provisoire de 2% du montant estimé; Avoir un chiffre d'affaires minimum de 5M DH; Être en règle avec les obligations fiscales; Être inscrit au registre de commerce,Doctorat,7 ans,Contrôle qualité; Expertise sectorielle; Planification; Analyse technique; Formation,Diplôme d'ingénieur,14 ans,Management d'équipe; Audit technique; Planification; Analyse technique,MBA,7 ans,Analyse technique; Expertise sectorielle; Planification; Contrôle qualité,73%,27%,60%,73%,27%,True,www.marchespublics.gov.ma
AO-2025-1888,Maintenance des équipements électriques,5 664 070 DH,2025-08-01,Office National des Chemins de Fer,"93, rue Adèle Pons, Tanger",+33 (0)4 92 24 01 15,0310870427,292 jours,61 jours,231 jours,Procuration (si applicable); Caution provisoire; Certificat de qualification et classification; Registre de commerce,Références similaires; Note technique détaillée; Planning d'exécution; Certificats de conformité; CV des intervenants,Devis quantitatif et estimatif; Attestation bancaire; Bordereau des prix unitaires,Avoir un chiffre d'affaires minimum de 5M DH; Justifier d'une expérience de 5 ans minimum; Fournir une caution provisoire de 2% du montant estimé,Ingénieur d'État,11 ans,Management d'équipe; Gestion de projet; Expertise sectorielle; Planification; Analyse technique,Master spécialisé,6 ans,Expertise sectorielle; Contrôle qualité; Analyse technique; Formation; Management d'équipe,Ingénieur d'État,11 ans,Analyse technique; Contrôle qualité; Management d'équipe,65%,35%,60%,65%,35%,True,www.marchespublics.gov.ma
AO-2025-5524,Prestation de services de nettoyage,48 228 895 DH,2025-07-22,Ministère de la Santé,"78, avenue de Goncalves, Mohammedia",+33 (0)3 71 95 82 84,+33 4 38 49 37 63,302 jours,144 jours,158 jours,Attestation fiscale; Attestation CNSS; Procuration (si applicable); Caution provisoire,Attestations de formation; Note technique détaillée; Références similaires; CV des intervenants; Certificats de conformité,Bilan des 3 dernières années; Bordereau des prix unitaires; Chiffre d'affaires des 3 dernières années,Être en règle avec les obligations fiscales; Justifier d'une expérience de 5 ans minimum; Fournir une caution provisoire de 2% du montant estimé; Être inscrit au registre de commerce; Disposer d'un personnel qualifié,Doctorat,17 ans,Expertise sectorielle; Gestion de projet; Planification; Formation,Diplôme d'ingénieur,14 ans,Audit technique; Analyse technique; Management d'équipe,Diplôme d'ingénieur,12 ans,Normes ISO; Gestion de projet; Expertise sectorielle; Formation,62%,38%,60%,62%,38%,True,www.marchespublics.gov.ma
AO-2025-9723,Services de sécurité et gardiennage,38 407 456 DH,2025-08-08,Ministère de l'Éducation,"59, rue de Martinez, Marrakech",+33 4 78 30 08 53,05 47 45 02 88,271 jours,79 jours,192 jours,Certificat de qualification et classification; Procuration (si applicable); Registre de commerce,Attestations de formation; Planning d'exécution; Note technique détaillée,Chiffre d'affaires des 3 dernières années; Bilan des 3 dernières années; Attestation bancaire,Avoir un chiffre d'affaires minimum de 5M DH; Justifier d'une expérience de 5 ans minimum; Être inscrit au registre de commerce; Être en règle avec les obligations fiscales,Doctorat,10 ans,Contrôle qualité; Expertise sectorielle; Gestion de projet,Ingénieur d'État,9 ans,Planification; Expertise sectorielle; Audit technique; Contrôle qualité,Master spécialisé,13 ans,Normes ISO; Formation; Audit technique; Planification,73%,27%,60%,73%,27%,True,www.marchespublics.gov.ma
AO-2025-2261,Fourniture de véhicules administratifs,41 694 243 DH,2025-07-26,Office National de l'Électricité et de l'Eau Potable,"992, chemin Arnaud, Mohammedia",03 29 89 47 91,+33 3 84 74 20 94,354 jours,167 jours,187 jours,Attestation CNSS; Procuration (si applicable); Attestation fiscale,Certificats de conformité; Références similaires; Planning d'exécution; CV des intervenants; Attestations de formation,Chiffre d'affaires des 3 dernières années; Devis quantitatif et estimatif; Bordereau des prix unitaires; Bilan des 3 dernières années,Avoir un chiffre d'affaires minimum de 5M DH; Justifier d'une expérience de 5 ans minimum; Être inscrit au registre de commerce; Fournir une caution provisoire de 2% du montant estimé; Disposer d'un personnel qualifié,Diplôme d'ingénieur,18 ans,Audit technique; Contrôle qualité; Formation; Management d'équipe; Expertise sectorielle,Master spécialisé,6 ans,Contrôle qualité; Analyse technique; Normes ISO,Diplôme d'ingénieur,18 ans,Formation; Contrôle qualité; Analyse technique; Normes ISO; Management d'équipe,65%,35%,60%,65%,35%,True,www.marchespublics.gov.ma
AO-2025-1471,Maintenance des équipements électriques,8 130 845 DH,2025-07-17,Caisse Nationale de Sécurité Sociale,"15, rue Letellier, Safi",+33 4 22 89 90 48,04 80 74 89 81,218 jours,36 jours,182 jours,Attestation CNSS; Procuration (si applicable); Caution provisoire,Planning d'exécution; Note technique détaillée; Références similaires; CV des intervenants,Bilan des 3 dernières années; Bordereau des prix unitaires; Devis quantitatif et estimatif; Attestation bancaire,Être inscrit au registre de commerce; Avoir un chiffre d'affaires minimum de 5M DH; Justifier d'une expérience de 5 ans minimum; Disposer d'un personnel qualifié; Être en règle avec les obligations fiscales,Diplôme d'ingénieur,18 ans,Contrôle qualité; Expertise sectorielle; Formation; Management d'équipe,Master spécialisé,11 ans,Formation; Audit technique; Planification; Contrôle qualité,Doctorat,18 ans,Management d'équipe; Gestion de projet; Planification,76%,24%,60%,76%,24%,True,www.marchespublics.gov.ma
AO-2025-6718,Fourniture de produits pharmaceutiques,48 177 189 DH,2025-07-24,Office National de l'Électricité et de l'Eau Potable,"44, chemin Alexandre Joly, Marrakech",+33 (0)4 83 53 59 04,02 44 80 73 20,192 jours,64 jours,128 jours,Attestation fiscale; Certificat de qualification et classification; Registre de commerce,CV des intervenants; Note technique détaillée; Références similaires; Attestations de formation,Bilan des 3 dernières années; Acte d'engagement; Bordereau des prix unitaires,Justifier d'une expérience de 5 ans minimum; Avoir un chiffre d'affaires minimum de 5M DH; Être inscrit au registre de commerce; Fournir une caution provisoire de 2% du montant estimé; Être en règle avec les obligations fiscales,Master en management,12 ans,Expertise sectorielle; Analyse technique; Formation,Master en management,15 ans,Contrôle qualité; Management d'équipe; Expertise sectorielle; Gestion de projet,Master en management,17 ans,Gestion de projet; Normes ISO; Analyse technique; Contrôle qualité,78%,22%,60%,78%,22%,True,www.marchespublics.gov.ma
AO-2025-8524,Services de sécurité et gardiennage,45 768 247 DH,2025-07-15,Royal Air Maroc,"76, rue Teixeira, Agadir",+33 (0)3 84 85 19 54,0519304754,170 jours,52 jours,118 jours,Attestation fiscale; Certificat de qualification et classification; Procuration (si applicable); Attestation CNSS,Certificats de conformité; Attestations de formation; Planning d'exécution; CV des intervenants; Références similaires,Devis quantitatif et estimatif; Bilan des 3 dernières années; Bordereau des prix unitaires,Fournir une caution provisoire de 2% du montant estimé; Être inscrit au registre de commerce; Justifier d'une expérience de 5 ans minimum,Master en management,14 ans,Audit technique; Expertise sectorielle; Analyse technique; Planification,Master spécialisé,7 ans,Gestion de projet; Analyse technique; Expertise sectorielle,Master spécialisé,10 ans,Formation; Analyse technique; Gestion de projet; Planification,71%,29%,60%,71%,29%,True,www.marchespublics.gov.ma
AO-2025-7945,Maintenance des équipements électriques,6 649 834 DH,2025-07-29,Barid Al-Maghrib,"96, rue Leroy, Agadir",02 41 71 55 60,+33 6 35 56 61 38,77 jours,27 jours,50 jours,Registre de commerce; Caution provisoire; Attestation fiscale; Attestation CNSS,Références similaires; Attestations de formation; Planning d'exécution; CV des intervenants; Certificats de conformité,Chiffre d'affaires des 3 dernières années; Devis quantitatif et estimatif; Acte d'engagement; Bilan des 3 dernières années,Être inscrit au registre de commerce; Justifier d'une expérience de 5 ans minimum; Avoir un chiffre d'affaires minimum de 5M DH; Être en règle avec les obligations fiscales,Master spécialisé,15 ans,Expertise sectorielle; Normes ISO; Analyse technique; Planification; Gestion de projet,MBA,17 ans,Management d'équipe; Gestion de projet; Audit technique,Master en management,19 ans,Formation; Analyse technique; Planification; Gestion de projet,76%,24%,60%,76%,24%,True,www.marchespublics.gov.ma
AO-2025-4954,Travaux de rénovation de bâtiments,22 415 525 DH,2025-07-12,Royal Air Maroc,"78, boulevard Gonzalez, Tanger",+33 5 87 76 63 40,+33 (0)4 67 83 27 61,249 jours,89 jours,160 jours,Procuration (si applicable); Attestation CNSS; Attestation fiscale; Registre de commerce,Certificats de conformité; Attestations de formation; CV des intervenants,Attestation bancaire; Acte d'engagement; Chiffre d'affaires des 3 dernières années; Devis quantitatif et estimatif,Avoir un chiffre d'affaires minimum de 5M DH; Disposer d'un personnel qualifié; Justifier d'une expérience de 5 ans minimum; Fournir une caution provisoire de 2% du montant estimé,Doctorat,14 ans,Expertise sectorielle; Audit technique; Gestion de projet,Master en management,15 ans,Gestion de projet; Formation; Contrôle qualité; Analyse technique,Doctorat,10 ans,Management d'équipe; Planification; Expertise sectorielle,66%,34%,60%,66%,34%,True,www.marchespublics.gov.ma
AO-2025-8080,Fourniture de mobilier de bureau,24 294 680 DH,2025-07-15,Agence Nationale de la Conservation Foncière,"31, chemin de Bonneau, Safi",03 26 41 98 30,+33 4 89 80 32 23,145 jours,34 jours,111 jours,Attestation fiscale; Certificat de qualification et classification; Procuration (si applicable); Caution provisoire; Registre de commerce,Certificats de conformité; Note technique détaillée; Références similaires,Devis quantitatif et estimatif; Chiffre d'affaires des 3 dernières années; Bordereau des prix unitaires; Acte d'engagement,Avoir un chiffre d'affaires minimum de 5M DH; Disposer d'un personnel qualifié; Fournir une caution provisoire de 2% du montant estimé; Être inscrit au registre de commerce,Diplôme d'ingénieur,14 ans,Management d'équipe; Analyse technique; Planification; Audit technique; Contrôle qualité,Master en management,5 ans,Formation; Normes ISO; Management d'équipe,MBA,15 ans,Formation; Normes ISO; Analyse technique; Gestion de projet,72%,28%,60%,72%,28%,True,www.marchespublics.gov.ma
AO-2025-5041,Travaux de rénovation de bâtiments,28 728 979 DH,2025-08-11,Royal Air Maroc,"7, rue Ferrand, Oujda",+33 1 55 08 44 27,01 42 54 30 82,240 jours,83 jours,157 jours,Attestation fiscale; Attestation CNSS; Certificat de qualification et classification,Note technique détaillée; Attestations de formation; Certificats de conformité,Devis quantitatif et estimatif; Bilan des 3 dernières années; Bordereau des prix unitaires,Disposer d'un personnel qualifié; Être en règle avec les obligations fiscales; Justifier d'une expérience de 5 ans minimum; Être inscrit au registre de commerce; Fournir une caution provisoire de 2% du montant estimé,Master spécialisé,18 ans,Analyse technique; Management d'équipe; Normes ISO,Doctorat,7 ans,Planification; Formation; Management d'équipe; Analyse technique; Expertise sectorielle,Ingénieur d'État,20 ans,Expertise sectorielle; Planification; Audit technique; Formation; Normes ISO,77%,23%,60%,77%,23%,True,www.marchespublics.gov.ma
AO-2025-4996,Fourniture de mobilier de bureau,20 234 895 DH,2025-07-21,Barid Al-Maghrib,"1, rue Philippe Marchand, Nador",0156623085,+33 7 85 13 57 06,96 jours,32 jours,64 jours,Attestation CNSS; Registre de commerce; Caution provisoire; Attestation fiscale,Attestations de formation; Note technique détaillée; CV des intervenants; Références similaires; Certificats de conformité,Acte d'engagement; Attestation bancaire; Devis quantitatif et estimatif,Disposer d'un personnel qualifié; Fournir une caution provisoire de 2% du montant estimé; Être en règle avec les obligations fiscales,Master en management,11 ans,Analyse technique; Expertise sectorielle; Management d'équipe,Master en management,20 ans,Formation; Contrôle qualité; Audit technique; Gestion de projet,Master spécialisé,16 ans,Normes ISO; Audit technique; Planification,80%,20%,60%,80%,20%,True,www.marchespublics.gov.ma
AO-2025-4773,Travaux de rénovation de bâtiments,14 109 301 DH,2025-08-04,Ministère de la Santé,"chemin Rey, Kenitra",06 68 39 34 03,0320836012,102 jours,21 jours,81 jours,Caution provisoire; Registre de commerce; Certificat de qualification et classification; Attestation fiscale; Attestation CNSS,Certificats de conformité; Références similaires; Note technique détaillée; Planning d'exécution,Bilan des 3 dernières années; Chiffre d'affaires des 3 dernières années; Bordereau des prix unitaires; Attestation bancaire,Fournir une caution provisoire de 2% du montant estimé; Justifier d'une expérience de 5 ans minimum; Être en règle avec les obligations fiscales; Être inscrit au registre de commerce; Avoir un chiffre d'affaires minimum de 5M DH,Diplôme d'ingénieur,7 ans,Audit technique; Contrôle qualité; Formation,MBA,7 ans,Contrôle qualité; Expertise sectorielle; Analyse technique,MBA,13 ans,Management d'équipe; Analyse technique; Formation; Expertise sectorielle,69%,31%,60%,69%,31%,True,www.marchespublics.gov.ma
AO-2025-2277,Fourniture et installation de matériel informatique,27 795 222 DH,2025-08-11,Barid Al-Maghrib,"4, boulevard de Valette, Khouribga",+33 4 15 41 13 02,02 41 23 38 37,237 jours,115 jours,122 jours,Caution provisoire; Attestation fiscale; Procuration (si applicable),Attestations de formation; CV des intervenants; Références similaires,Acte d'engagement; Devis quantitatif et estimatif; Bilan des 3 dernières années,Être en règle avec les obligations fiscales; Justifier d'une expérience de 5 ans minimum; Être inscrit au registre de commerce; Fournir une caution provisoire de 2% du montant estimé; Disposer d'un personnel qualifié,Master spécialisé,12 ans,Expertise sectorielle; Management d'équipe; Normes ISO; Formation; Contrôle qualité,Diplôme d'ingénieur,16 ans,Audit technique; Normes ISO; Gestion de projet,Master spécialisé,12 ans,Formation; Expertise sectorielle; Management d'équipe; Normes ISO,79%,21%,60%,79%,21%,True,www.marchespublics.gov.ma
AO-2025-9682,Travaux de rénovation de bâtiments,3 901 562 DH,2025-07-19,Caisse Nationale de Sécurité Sociale,"54, rue de Humbert, Kenitra",05 47 89 81 94,+33 2 41 28 67 42,90 jours,27 jours,63 jours,Attestation fiscale; Registre de commerce; Attestation CNSS; Caution provisoire,Attestations de formation; Certificats de conformité; Références similaires; Note technique détaillée,Chiffre d'affaires des 3 dernières années; Bilan des 3 dernières années; Bordereau des prix unitaires,Fournir une caution provisoire de 2% du montant estimé; Être en règle avec les obligations fiscales; Être inscrit au registre de commerce,MBA,9 ans,Management d'équipe; Contrôle qualité; Analyse technique; Gestion de projet,Doctorat,8 ans,Gestion de projet; Contrôle qualité; Planification,Doctorat,7 ans,Contrôle qualité; Audit technique; Formation; Analyse technique,69%,31%,60%,69%,31%,True,www.marchespublics.gov.ma
AO-2025-6111,Étude technique pour l'aménagement urbain,21 350 246 DH,2025-07-23,Royal Air Maroc,"18, rue de Huet, Tétouan",03 68 44 64 32,+33 4 50 10 50 78,139 jours,61 jours,78 jours,Registre de commerce; Caution provisoire; Procuration (si applicable); Attestation fiscale,Planning d'exécution; Note technique détaillée; Certificats de conformité,Bordereau des prix unitaires; Bilan des 3 dernières années; Chiffre d'affaires des 3 dernières années,Justifier d'une expérience de 5 ans minimum; Être en règle avec les obligations fiscales; Disposer d'un personnel qualifié; Fournir une caution provisoire de 2% du montant estimé,Diplôme d'ingénieur,16 ans,Management d'équipe; Normes ISO; Gestion de projet; Planification; Expertise sectorielle,MBA,13 ans,Analyse technique; Gestion de projet; Expertise sectorielle; Planification; Formation,MBA,18 ans,Normes ISO; Formation; Gestion de projet; Contrôle qualité,71%,29%,60%,71%,29%,True,www.marchespublics.gov.ma
AO-2025-5482,Étude technique pour l'aménagement urbain,45 682 756 DH,2025-08-01,Royal Air Maroc,"28, boulevard de Ribeiro, Tétouan",+33 4 86 07 96 86,+33 3 65 18 00 50,253 jours,43 jours,210 jours,Certificat de qualification et classification; Caution provisoire; Attestation fiscale; Registre de commerce; Attestation CNSS,Certificats de conformité; Planning d'exécution; Note technique détaillée; CV des intervenants,Acte d'engagement; Attestation bancaire; Bilan des 3 dernières années; Chiffre d'affaires des 3 dernières années,Avoir un chiffre d'affaires minimum de 5M DH; Fournir une caution provisoire de 2% du montant estimé; Justifier d'une expérience de 5 ans minimum,Diplôme d'ingénieur,19 ans,Planification; Expertise sectorielle; Management d'équipe,Diplôme d'ingénieur,5 ans,Audit technique; Contrôle qualité; Expertise sectorielle,Master en management,6 ans,Contrôle qualité; Expertise sectorielle; Normes ISO; Planification,60%,40%,60%,60%,40%,True,www.marchespublics.gov.ma
AO-2025-7324,Fourniture de mobilier de bureau,3 523 529 DH,2025-08-03,Ministère de la Santé,"avenue Julien Brun, El Jadida",+33 (0)4 79 84 10 73,01 45 59 80 33,161 jours,64 jours,97 jours,Attestation CNSS; Certificat de qualification et classification; Procuration (si applicable); Caution provisoire,Certificats de conformité; Références similaires; CV des intervenants; Note technique détaillée; Planning d'exécution,Attestation bancaire; Bilan des 3 dernières années; Chiffre d'affaires des 3 dernières années,Avoir un chiffre d'affaires minimum de 5M DH; Être en règle avec les obligations fiscales; Être inscrit au registre de commerce,Master en management,8 ans,Gestion de projet; Formation; Audit technique,Master en management,7 ans,Management d'équipe; Planification; Expertise sectorielle; Audit technique; Contrôle qualité,Master spécialisé,14 ans,Normes ISO; Gestion de projet; Formation,71%,29%,60%,71%,29%,True,www.marchespublics.gov.ma
AO-2025-4001,Maintenance des équipements électriques,43 155 824 DH,2025-07-15,Caisse Nationale de Sécurité Sociale,"1, boulevard Hamon, Beni Mellal",0246375307,0276829446,125 jours,43 jours,82 jours,Procuration (si applicable); Attestation fiscale; Caution provisoire,CV des intervenants; Planning d'exécution; Note technique détaillée; Attestations de formation,Devis quantitatif et estimatif; Acte d'engagement; Bordereau des prix unitaires; Chiffre d'affaires des 3 dernières années,Avoir un chiffre d'affaires minimum de 5M DH; Disposer d'un personnel qualifié; Fournir une caution provisoire de 2% du montant estimé; Justifier d'une expérience de 5 ans minimum; Être inscrit au registre de commerce,Ingénieur d'État,7 ans,Formation; Analyse technique; Gestion de projet,MBA,10 ans,Audit technique; Normes ISO; Planification,Ingénieur d'État,9 ans,Expertise sectorielle; Planification; Management d'équipe,65%,35%,60%,65%,35%,True,www.marchespublics.gov.ma
AO-2025-4556,Fourniture et installation de matériel informatique,42 557 095 DH,2025-08-06,Office National des Aéroports,"98, avenue Renaud, Tétouan",+33 4 98 91 16 84,+33 1 69 48 62 06,95 jours,34 jours,61 jours,Attestation CNSS; Procuration (si applicable); Caution provisoire; Certificat de qualification et classification,Références similaires; Certificats de conformité; Attestations de formation; Note technique détaillée; CV des intervenants,Chiffre d'affaires des 3 dernières années; Bordereau des prix unitaires; Acte d'engagement; Bilan des 3 dernières années,Justifier d'une expérience de 5 ans minimum; Disposer d'un personnel qualifié; Avoir un chiffre d'affaires minimum de 5M DH,MBA,17 ans,Audit technique; Formation; Expertise sectorielle; Planification; Gestion de projet,Master en management,18 ans,Gestion de projet; Contrôle qualité; Normes ISO; Analyse technique,MBA,5 ans,Expertise sectorielle; Contrôle qualité; Management d'équipe; Formation; Gestion de projet,73%,27%,60%,73%,27%,True,www.marchespublics.gov.ma
AO-2025-6615,Services de sécurité et gardiennage,11 184 121 DH,2025-07-31,Caisse Nationale de Sécurité Sociale,"81, rue Marcelle Alexandre, Oujda",0179316336,03 10 10 27 82,364 jours,90 jours,274 jours,Caution provisoire; Procuration (si applicable); Registre de commerce; Attestation CNSS; Attestation fiscale,CV des intervenants; Attestations de formation; Références similaires; Note technique détaillée; Planning d'exécution,Bordereau des prix unitaires; Bilan des 3 dernières années; Acte d'engagement; Chiffre d'affaires des 3 dernières années,Fournir une caution provisoire de 2% du montant estimé; Disposer d'un personnel qualifié; Être inscrit au registre de commerce; Justifier d'une expérience de 5 ans minimum,Master spécialisé,6 ans,Analyse technique; Audit technique; Gestion de projet; Planification; Contrôle qualité,Diplôme d'ingénieur,12 ans,Planification; Normes ISO; Contrôle qualité,Master en management,13 ans,Analyse technique; Gestion de projet; Expertise sectorielle; Formation; Contrôle qualité,78%,22%,60%,78%,22%,True,www.marchespublics.gov.ma
AO-2025-7122,Fourniture de véhicules administratifs,27 255 486 DH,2025-07-13,Agence Nationale de la Conservation Foncière,"2, rue de Clément, Fès",03 76 70 52 82,+33 (0)2 33 04 37 29,111 jours,21 jours,90 jours,Registre de commerce; Attestation fiscale; Attestation CNSS,Attestations de formation; Certificats de conformité; Références similaires; CV des intervenants,Chiffre d'affaires des 3 dernières années; Devis quantitatif et estimatif; Acte d'engagement; Bordereau des prix unitaires,Avoir un chiffre d'affaires minimum de 5M DH; Disposer d'un personnel qualifié; Être inscrit au registre de commerce,MBA,14 ans,Expertise sectorielle; Audit technique; Planification,MBA,8 ans,Management d'équipe; Expertise sectorielle; Planification; Analyse technique; Audit technique,Ingénieur d'État,14 ans,Audit technique; Formation; Analyse technique; Expertise sectorielle; Contrôle qualité,63%,37%,60%,63%,37%,True,www.marchespublics.gov.ma
AO-2025-5346,Travaux de rénovation de bâtiments,37 487 679 DH,2025-08-08,Ministère de l'Intérieur,"41, rue de Traore, Casablanca",0326792040,+33 2 44 83 71 38,259 jours,94 jours,165 jours,Caution provisoire; Attestation fiscale; Procuration (si applicable),Planning d'exécution; Note technique détaillée; Attestations de formation,Chiffre d'affaires des 3 dernières années; Devis quantitatif et estimatif; Bordereau des prix unitaires; Acte d'engagement,Être en règle avec les obligations fiscales; Fournir une caution provisoire de 2% du montant estimé; Être inscrit au registre de commerce; Disposer d'un personnel qualifié; Avoir un chiffre d'affaires minimum de 5M DH,Master spécialisé,5 ans,Analyse technique; Management d'équipe; Formation; Audit technique,Diplôme d'ingénieur,19 ans,Audit technique; Gestion de projet; Expertise sectorielle,Diplôme d'ingénieur,10 ans,Expertise sectorielle; Audit technique; Analyse technique,74%,26%,60%,74%,26%,True,www.marchespublics.gov.ma
AO-2025-4625,Fourniture de mobilier de bureau,38 469 498 DH,2025-07-27,Office National des Aéroports,"279, rue Duval, Oujda",+33 3 72 38 08 66,0144633730,249 jours,34 jours,215 jours,Attestation CNSS; Registre de commerce; Procuration (si applicable); Certificat de qualification et classification; Caution provisoire,Note technique détaillée; Références similaires; Planning d'exécution; CV des intervenants; Attestations de formation,Attestation bancaire; Acte d'engagement; Bordereau des prix unitaires; Devis quantitatif et estimatif,Justifier d'une expérience de 5 ans minimum; Disposer d'un personnel qualifié; Être inscrit au registre de commerce; Être en règle avec les obligations fiscales,Ingénieur d'État,14 ans,Audit technique; Gestion de projet; Expertise sectorielle; Formation,Doctorat,7 ans,Normes ISO; Analyse technique; Contrôle qualité; Management d'équipe,Master en management,5 ans,Planification; Audit technique; Expertise sectorielle,76%,24%,60%,76%,24%,True,www.marchespublics.gov.ma
AO-2025-6308,Travaux de rénovation de bâtiments,28 433 145 DH,2025-07-16,Office National de l'Électricité et de l'Eau Potable,"70, avenue de Raymond, Mohammedia",03 75 49 58 19,05 53 33 99 21,112 jours,52 jours,60 jours,Caution provisoire; Registre de commerce; Attestation fiscale; Procuration (si applicable); Certificat de qualification et classification,Planning d'exécution; Certificats de conformité; Attestations de formation,Acte d'engagement; Bordereau des prix unitaires; Devis quantitatif et estimatif; Chiffre d'affaires des 3 dernières années,Avoir un chiffre d'affaires minimum de 5M DH; Fournir une caution provisoire de 2% du montant estimé; Être inscrit au registre de commerce; Être en règle avec les obligations fiscales; Justifier d'une expérience de 5 ans minimum,Master spécialisé,8 ans,Planification; Normes ISO; Management d'équipe; Expertise sectorielle; Gestion de projet,Master en management,10 ans,Gestion de projet; Analyse technique; Normes ISO; Expertise sectorielle; Planification,MBA,15 ans,Formation; Planification; Expertise sectorielle; Analyse technique,77%,23%,60%,77%,23%,True,www.marchespublics.gov.ma
AO-2025-4129,Fourniture de produits pharmaceutiques,42 062 031 DH,2025-08-07,Barid Al-Maghrib,"95, rue de Bouvet, Marrakech",07 50 61 94 16,+33 6 33 49 79 91,332 jours,166 jours,166 jours,Attestation CNSS; Caution provisoire; Procuration (si applicable); Certificat de qualification et classification; Attestation fiscale,Références similaires; CV des intervenants; Note technique détaillée; Attestations de formation; Planning d'exécution,Acte d'engagement; Devis quantitatif et estimatif; Chiffre d'affaires des 3 dernières années,Fournir une caution provisoire de 2% du montant estimé; Être en règle avec les obligations fiscales; Disposer d'un personnel qualifié; Avoir un chiffre d'affaires minimum de 5M DH; Être inscrit au registre de commerce,Ingénieur d'État,10 ans,Audit technique; Formation; Expertise sectorielle; Contrôle qualité; Management d'équipe,Diplôme d'ingénieur,16 ans,Normes ISO; Gestion de projet; Audit technique,Ingénieur d'État,16 ans,Formation; Gestion de projet; Expertise sectorielle; Audit technique,60%,40%,60%,60%,40%,True,www.marchespublics.gov.ma
